date,actual,predicted,train_mean,y_train_mean,inner_idx,sstart,window_end
2018-01-01,-0.000420828,0.0002678173651145968,0.0018658720117647057,0.0018658720117647057,0,78,2019-02-01
2018-02-01,0.00514569,0.00124104655167061,0.0017777330235294118,0.0017777330235294118,0,79,2019-03-01
2018-03-01,0.00297025,0.0005251731129924896,0.001805207482352941,0.001805207482352941,0,80,2019-04-01
2018-04-01,0.000447788,0.0018817164467148026,0.001843062694117647,0.001843062694117647,0,81,2019-05-01
2018-05-01,0.005426968,0.002941342413211666,0.0018093140588235294,0.0018093140588235294,0,82,2019-06-01
2018-06-01,0.001161108,0.0006096616562771475,0.0018574618823529415,0.0018574618823529415,0,83,2019-07-01
2018-07-01,0.003167514,0.0019644637201694107,0.0018993526117647062,0.0018993526117647062,0,84,2019-08-01
2018-08-01,0.002063738,0.003334021911136897,0.0018961386470588237,0.0018961386470588237,0,85,2019-09-01
2018-09-01,0.000108821,0.003666538603219153,0.0018361336588235296,0.0018361336588235296,0,86,2019-10-01
2018-10-01,0.003624493,0.002438516890693575,0.0017725827411764709,0.0017725827411764709,0,87,2019-11-01
2018-11-01,-0.002396755,0.001634525900238481,0.0017970855058823533,0.0017970855058823533,0,88,2019-12-01
2018-12-01,-0.000507987,0.0024049180924205636,0.001766583141176471,0.001766583141176471,0,89,2020-01-01
2019-01-01,-0.00027747,0.0015011143024165256,0.0017518066000000005,0.0017518066000000005,0,90,2020-02-01
2019-02-01,-0.002572036,-0.0010675467835033607,0.001694248835294118,0.001694248835294118,0,91,2020-03-01
2019-03-01,0.008168522,0.002374544069424704,0.0016713119058823533,0.0016713119058823533,0,92,2020-04-01
2019-04-01,0.005576397,0.0006354505242613954,0.001798375129411765,0.001798375129411765,0,93,2020-05-01
2019-05-01,0.002295297,0.001618073915852951,0.0018351453058823536,0.0018351453058823536,0,94,2020-06-01
2019-06-01,0.002381093,0.0035575336587410343,0.0018221867764705887,0.0018221867764705887,0,95,2020-07-01
2019-07-01,-0.001010546,0.00209243257566628,0.001831796023529412,0.001831796023529412,0,96,2020-08-01
2019-08-01,-0.000652718,0.0033115171371825335,0.0018141525647058826,0.0018141525647058826,0,97,2020-09-01
2019-09-01,0.000456897,0.004110632574251901,0.001783462329411765,0.001783462329411765,0,98,2020-10-01
2019-10-01,0.001828003,0.004054234682378435,0.0018040840941176473,0.0018040840941176473,0,99,2020-11-01
2019-11-01,-0.000297017,0.0024202685486692972,0.0018267029529411766,0.0018267029529411766,0,100,2020-12-01
2019-12-01,0.002053313,0.0016142708496014728,0.0018280597176470587,0.0018280597176470587,0,101,2021-01-01
2020-01-01,0.001315699,0.0036695504442992594,0.0017958858470588238,0.0017958858470588238,0,102,2021-02-01
2020-02-01,0.003401413,0.0011941028884099483,0.0018119670117647058,0.0018119670117647058,0,103,2021-03-01
2020-03-01,-0.07537065,0.0035378393257617232,0.0017943258352941173,0.0017943258352941173,0,104,2021-04-01
2020-04-01,-0.11400353,0.0025357681530529183,0.0008549239647058823,0.0008549239647058823,0,105,2021-05-01
2020-05-01,0.042266504,-0.00034236981211648845,-0.0005336057647058823,-0.0005336057647058823,0,106,2021-06-01
2020-06-01,0.055582744,0.013890275270452687,-4.947245882352933e-05,-4.947245882352933e-05,0,107,2021-07-01
2020-07-01,0.025353325,0.0018498126583669837,0.0005733574000000001,0.0005733574000000001,0,108,2021-08-01
2020-08-01,0.00913465,0.015273282480218277,0.0009179556823529412,0.0009179556823529412,1,108,2021-08-01
2020-09-01,0.007989305,0.0037472986784825896,0.0009616293999999999,0.0009616293999999999,2,108,2021-08-01
2020-10-01,0.005832249,0.005140713608206061,0.001000108294117647,0.001000108294117647,3,108,2021-08-01
2020-11-01,0.008783804,0.000791469362722652,0.0010302829647058824,0.0010302829647058824,4,108,2021-08-01
2020-12-01,0.002212933,0.003876812626764793,0.0010680003176470586,0.0010680003176470586,5,108,2021-08-01
2021-01-01,0.007047229,-0.0002528521371854195,0.0010764232352941177,0.0010764232352941177,6,108,2021-08-01
2021-02-01,0.001685171,0.005051603118545117,0.0012163654117647057,0.0012163654117647057,7,108,2021-08-01
2021-03-01,0.012534755,-4.104570647816999e-05,0.0012031754823529413,0.0012031754823529413,8,108,2021-08-01
2021-04-01,-0.008569461,0.00349359539413614,0.001281225411764706,0.001281225411764706,9,108,2021-08-01
2021-05-01,-0.00506891,0.00026163516263673803,0.001166607905882353,0.001166607905882353,10,108,2021-08-01
2021-06-01,0.007873122,4.224540956384898e-05,0.0010664564588235299,0.0010664564588235299,11,108,2021-08-01
2021-07-01,-0.000920719,0.0027225101048162746,0.0011162855176470592,0.0011162855176470592,12,108,2021-08-01
